                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9262,                 1.0328,                  1.764,                0.93173,                0.89753,                0.97281,                0.93881,                0.79697,                0.68361,                 1.7771,             0.00082925,             0.00082925,             0.00082925
                     36,                0.93146,                 1.0662,                 1.7577,                0.88101,                0.85015,                0.94306,                0.89787,                0.86908,                0.95508,                  1.786,             0.00081688,             0.00081688,             0.00081688
                     37,                  0.937,                 1.0549,                 1.7569,                0.93037,                0.89487,                 0.9718,                0.94032,                0.78611,                0.65249,                 1.7822,              0.0008045,              0.0008045,              0.0008045
                     38,                0.91334,                 1.1122,                 1.7562,                0.91772,                0.88776,                0.96835,                 0.9365,                0.80842,                0.68302,                 1.7817,             0.00079213,             0.00079213,             0.00079213
                     39,                0.90245,                 1.0353,                 1.7535,                0.91919,                0.89585,                0.96999,                0.94112,                0.77785,                0.64479,                 1.7888,             0.00077975,             0.00077975,             0.00077975
                     40,                 0.8948,                0.97832,                 1.7432,                0.94114,                0.89742,                0.97156,                0.94281,                0.78051,                0.64042,                 1.7997,             0.00076738,             0.00076738,             0.00076738
                     41,                 0.9127,                 1.0134,                 1.7469,                0.90082,                0.92628,                0.97388,                0.94268,                0.79699,                0.62515,                 1.7952,               0.000755,               0.000755,               0.000755
                     42,                0.89287,                0.98864,                  1.741,                 0.9323,                 0.9141,                0.97494,                0.95461,                0.73608,                0.60581,                 1.7687,             0.00074263,             0.00074263,             0.00074263
                     43,                  0.893,                 0.9766,                 1.7498,                0.93984,                0.90198,                0.97587,                0.94176,                0.78189,                0.59522,                 1.7846,             0.00073025,             0.00073025,             0.00073025
                     44,                0.86946,                0.95487,                 1.7419,                0.95454,                0.89048,                0.97645,                0.95189,                0.74553,                0.58923,                 1.7723,             0.00071788,             0.00071788,             0.00071788
                     45,                0.86141,                0.99526,                 1.7364,                0.94619,                0.91971,                 0.9793,                0.95769,                0.70898,                0.55316,                 1.7304,              0.0007055,              0.0007055,              0.0007055
                     46,                0.84653,                0.93359,                 1.7349,                0.93476,                0.91014,                 0.9761,                0.95357,                0.73209,                0.59188,                 1.7439,             0.00069313,             0.00069313,             0.00069313
                     47,                0.81577,                 0.9151,                 1.7183,                0.92504,                0.92179,                 0.9789,                0.95886,                 0.7173,                0.54938,                 1.7562,             0.00068075,             0.00068075,             0.00068075
                     48,                0.82411,                0.89874,                 1.7264,                0.96462,                0.88509,                0.97924,                  0.963,                0.70176,                0.54511,                 1.7612,             0.00066838,             0.00066838,             0.00066838
                     49,                0.83644,                 0.9494,                 1.7492,                0.95363,                0.91377,                0.98118,                0.96461,                0.70985,                0.54315,                 1.7863,               0.000656,               0.000656,               0.000656
                     50,                0.80229,                0.91645,                 1.7111,                0.92661,                0.92205,                0.97699,                0.95538,                 0.7118,                0.55382,                 1.7733,             0.00064362,             0.00064362,             0.00064362
